Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sat,11/16/1991,20:45,China PR cn,4,NA,no Norway,0,NA,65000,Tianhe Stadium (Neutral Site),Salvador Imperatore Marcone,,https://fbref.com/en/matches/0d9e0f26/China-PR-Norway-November-16-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,15:30,Germany de,4,NA,ng Nigeria,0,NA,14000,Jiangmen Stadium (Neutral Site),Rafael Rodriguez,,https://fbref.com/en/matches/e3bbff4b/Germany-Nigeria-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Japan jp,0,NA,br Brazil,1,NA,14000,New Plaza Stadium (Neutral Site),Lu Jun,,https://fbref.com/en/matches/f834bba1/Japan-Brazil-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Chinese Taipei tw,0,NA,it Italy,5,NA,11000,Jiangmen Stadium (Neutral Site),Fathi Boucetta,,https://fbref.com/en/matches/142ef2fd/Chinese-Taipei-Italy-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Denmark dk,3,NA,nz New Zealand,0,NA,14000,Tianhe Stadium (Neutral Site),Omer Yengo,,https://fbref.com/en/matches/1e1ee49d/Denmark-New-Zealand-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Sweden se,2,NA,us USA,3,NA,14000,Ying Dong Stadium (Neutral Site),John Toro Rendón,,https://fbref.com/en/matches/b2f3a10a/Sweden-United-States-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,15:30,Norway no,4,NA,nz New Zealand,0,NA,12000,Guangdong Provincial People's Stadium (Neutral Site),Salvador Imperatore Marcone,,https://fbref.com/en/matches/d7440a38/Norway-New-Zealand-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,15:30,Italy it,1,NA,ng Nigeria,0,NA,12000,Zhongshan Stadium (Neutral Site),Jim McCluskey,,https://fbref.com/en/matches/50912d1f/Italy-Nigeria-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,19:45,China PR cn,2,NA,dk Denmark,2,NA,27000,Guangdong Provincial People's Stadium (Neutral Site),Vassilios Nikakis,,https://fbref.com/en/matches/0c6e3ea4/China-PR-Denmark-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,19:45,Brazil br,0,NA,us USA,5,NA,15500,Ying Dong Stadium (Neutral Site),Vadim Zhuk,,https://fbref.com/en/matches/846e5846/Brazil-United-States-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,19:45,Japan jp,0,NA,se Sweden,8,NA,14000,New Plaza Stadium (Neutral Site),Gyanu Shrestha,,https://fbref.com/en/matches/6230e49a/Japan-Sweden-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,19:45,Chinese Taipei tw,0,NA,de Germany,3,NA,10000,Zhongshan Stadium (Neutral Site),Fathi Boucetta,,https://fbref.com/en/matches/06aef896/Chinese-Taipei-Germany-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Thu,11/21/1991,15:30,Japan jp,0,NA,us USA,3,NA,14000,New Plaza Stadium (Neutral Site),John Toro Rendón,,https://fbref.com/en/matches/d99a3613/Japan-United-States-November-21-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Thu,11/21/1991,15:30,Brazil br,0,NA,se Sweden,2,NA,12000,Ying Dong Stadium (Neutral Site),Lu Jun,,https://fbref.com/en/matches/e66f99c1/Brazil-Sweden-November-21-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Thu,11/21/1991,19:45,Chinese Taipei tw,2,NA,ng Nigeria,0,NA,14000,Jiangmen Stadium (Neutral Site),Rafael Rodriguez,,https://fbref.com/en/matches/57d11fa2/Chinese-Taipei-Nigeria-November-21-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Thu,11/21/1991,19:45,China PR cn,4,NA,nz New Zealand,1,NA,14000,New Plaza Stadium (Neutral Site),Gyanu Shrestha,,https://fbref.com/en/matches/457b3793/China-PR-New-Zealand-November-21-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Thu,11/21/1991,19:45,Norway no,2,NA,dk Denmark,1,NA,15500,Ying Dong Stadium (Neutral Site),Vadim Zhuk,,https://fbref.com/en/matches/3fddad93/Norway-Denmark-November-21-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Thu,11/21/1991,19:45,Italy it,0,NA,de Germany,2,NA,12000,Zhongshan Stadium (Neutral Site),Jim McCluskey,,https://fbref.com/en/matches/2235d4fd/Italy-Germany-November-21-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Quarter-finals,NA,Sun,11/24/1991,15:30,Germany de,2,NA,dk Denmark,1,NA,12000,Zhongshan Stadium (Neutral Site),Vassilios Nikakis,Required Extra Time,https://fbref.com/en/matches/76e4ee5e/Germany-Denmark-November-24-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Quarter-finals,NA,Sun,11/24/1991,19:45,Norway no,3,NA,it Italy,2,NA,13000,Jiangmen Stadium (Neutral Site),Rafael Rodriguez,Required Extra Time,https://fbref.com/en/matches/0f94ba53/Norway-Italy-November-24-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Quarter-finals,NA,Sun,11/24/1991,19:45,USA us,7,NA,tw Chinese Taipei,0,NA,12000,New Plaza Stadium (Neutral Site),Omer Yengo,,https://fbref.com/en/matches/4a6901f4/United-States-Chinese-Taipei-November-24-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Quarter-finals,NA,Sun,11/24/1991,19:45,China PR cn,0,NA,se Sweden,1,NA,55000,Tianhe Stadium (Neutral Site),John Toro Rendón,,https://fbref.com/en/matches/e1e419cf/China-PR-Sweden-November-24-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Semi-finals,NA,Wed,11/27/1991,15:30,Sweden se,1,NA,no Norway,4,NA,16000,Ying Dong Stadium (Neutral Site),Jim McCluskey,,https://fbref.com/en/matches/1a1d4b23/Sweden-Norway-November-27-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Semi-finals,NA,Wed,11/27/1991,19:45,USA us,5,NA,de Germany,2,NA,20000,Guangdong Provincial People's Stadium (Neutral Site),Salvador Imperatore Marcone,,https://fbref.com/en/matches/95820d39/United-States-Germany-November-27-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Third-place match,NA,Fri,11/29/1991,19:45,Sweden se,4,NA,de Germany,0,NA,20000,Guangdong Provincial People's Stadium (Neutral Site),Cláudia Vasconcelos,,https://fbref.com/en/matches/01e7df97/Sweden-Germany-November-29-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Final,NA,Sat,11/30/1991,19:45,USA us,2,NA,no Norway,1,NA,63000,Tianhe Stadium (Neutral Site),Vadim Zhuk,,https://fbref.com/en/matches/86b32cdb/United-States-Norway-November-30-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Mon,6/5/1995,14:00,Sweden se,0,NA,br Brazil,1,NA,14500,Olympia (Neutral Site),Sonia Denoncourt,,https://fbref.com/en/matches/74725cd9/Sweden-Brazil-June-5-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Mon,6/5/1995,18:00,Germany de,1,NA,jp Japan,0,NA,3824,Tingvallen (Neutral Site),Petros Mathabela,,https://fbref.com/en/matches/caa6de88/Germany-Japan-June-5-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Tue,6/6/1995,19:00,USA us,3,NA,cn China PR,3,NA,4635,Stromvallen (Neutral Site),Ingrid Jonsson,,https://fbref.com/en/matches/26cca6de/United-States-China-PR-June-6-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Tue,6/6/1995,19:00,England eng,3,NA,ca Canada,2,NA,655,Olympia (Neutral Site),Eva Oedlund,,https://fbref.com/en/matches/aad71273/England-Canada-June-6-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Tue,6/6/1995,19:00,Norway no,8,NA,ng Nigeria,0,NA,4344,Tingvallen (Neutral Site),Alain Hamer,,https://fbref.com/en/matches/9343bfc9/Norway-Nigeria-June-6-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Tue,6/6/1995,19:00,Denmark dk,5,NA,au Australia,0,NA,1500,Arosvallen (Neutral Site),Bente Skogvang,,https://fbref.com/en/matches/5485c492/Denmark-Australia-June-6-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Wed,6/7/1995,19:00,Brazil br,1,NA,jp Japan,2,NA,2286,Tingvallen (Neutral Site),Catherine Leann Hepburn,,https://fbref.com/en/matches/2ba96ef9/Brazil-Japan-June-7-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Wed,6/7/1995,19:00,Sweden se,3,NA,de Germany,2,NA,5855,Olympia (Neutral Site),Linda May Black,,https://fbref.com/en/matches/b4dd5671/Sweden-Germany-June-7-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Thu,6/8/1995,19:00,Nigeria ng,3,NA,ca Canada,3,NA,250,Olympia (Neutral Site),Pirom Anprasert,,https://fbref.com/en/matches/764057cf/Nigeria-Canada-June-8-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Thu,6/8/1995,19:00,Norway no,2,NA,eng England,0,NA,5520,Tingvallen (Neutral Site),Eduardo Gamboa Martinez,,https://fbref.com/en/matches/c6ed4e29/Norway-England-June-8-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Thu,6/8/1995,19:00,China PR cn,4,NA,au Australia,2,NA,1500,Arosvallen (Neutral Site),Maria Siqueira,,https://fbref.com/en/matches/334da45e/China-PR-Australia-June-8-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Thu,6/8/1995,19:00,USA us,2,NA,dk Denmark,0,NA,2740,Stromvallen (Neutral Site),Mamadouba Engage Camara,,https://fbref.com/en/matches/469d99a1/United-States-Denmark-June-8-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Fri,6/9/1995,19:00,Brazil br,1,NA,de Germany,6,NA,3203,Tingvallen (Neutral Site),Alain Hamer,,https://fbref.com/en/matches/311741ff/Brazil-Germany-June-9-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Fri,6/9/1995,19:00,Sweden se,2,NA,jp Japan,0,NA,7811,Arosvallen (Neutral Site),Petros Mathabela,,https://fbref.com/en/matches/54125226/Sweden-Japan-June-9-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Sat,6/10/1995,16:00,Nigeria ng,2,NA,eng England,3,NA,1843,Tingvallen (Neutral Site),Ingrid Jonsson,,https://fbref.com/en/matches/8d53141d/Nigeria-England-June-10-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Sat,6/10/1995,16:00,Norway no,7,NA,ca Canada,0,NA,2715,Stromvallen (Neutral Site),Maria Siqueira,,https://fbref.com/en/matches/892330b4/Norway-Canada-June-10-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Sat,6/10/1995,19:00,USA us,4,NA,au Australia,1,NA,1150,Olympia (Neutral Site),Pirom Anprasert,,https://fbref.com/en/matches/8ffbced7/United-States-Australia-June-10-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Group stage,NA,Sat,6/10/1995,19:00,China PR cn,3,NA,dk Denmark,1,NA,1619,Arosvallen (Neutral Site),Eduardo Gamboa Martinez,,https://fbref.com/en/matches/6b4577df/China-PR-Denmark-June-10-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Quarter-finals,NA,Tue,6/13/1995,17:15,USA us,4,NA,jp Japan,0,NA,3756,Stromvallen (Neutral Site),Eduardo Gamboa Martinez,,https://fbref.com/en/matches/50ce284a/United-States-Japan-June-13-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Quarter-finals,NA,Tue,6/13/1995,17:15,Norway no,3,NA,dk Denmark,1,NA,4655,Tingvallen (Neutral Site),Pirom Anprasert,,https://fbref.com/en/matches/533ea6d9/Norway-Denmark-June-13-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Quarter-finals,NA,Tue,6/13/1995,20:15,Germany de,3,NA,eng England,0,NA,2317,Arosvallen (Neutral Site),Bente Skogvang,,https://fbref.com/en/matches/7ccd4601/Germany-England-June-13-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Quarter-finals,NA,Tue,6/13/1995,20:15,Sweden se,1,NA,cn China PR,1,NA,7537,Olympia (Neutral Site),Sonia Denoncourt,China PR won on penalty kicks following extra time,https://fbref.com/en/matches/aab988fc/Sweden-China-PR-June-13-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Semi-finals,NA,Thu,6/15/1995,17:15,USA us,0,NA,no Norway,1,NA,2893,Arosvallen (Neutral Site),Alain Hamer,,https://fbref.com/en/matches/06a78df6/United-States-Norway-June-15-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Semi-finals,NA,Thu,6/15/1995,20:15,Germany de,1,NA,cn China PR,0,NA,3693,Olympia (Neutral Site),Petros Mathabela,,https://fbref.com/en/matches/f1d1a58f/Germany-China-PR-June-15-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Third-place match,NA,Sat,6/17/1995,16:00,China PR cn,0,NA,us USA,2,NA,4335,Stromvallen (Neutral Site),Sonia Denoncourt,,https://fbref.com/en/matches/27786fb5/China-PR-United-States-June-17-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1995,Final,NA,Sun,6/18/1995,18:00,Germany de,0,NA,no Norway,2,NA,17158,Rasunda Stadium (Neutral Site),Ingrid Jonsson,,https://fbref.com/en/matches/6a617609/Germany-Norway-June-18-1995-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/19/1999,15:00,Denmark dk,0,NA,us USA,3,NA,78972,Giants Stadium (Neutral Site),Sonia Denoncourt,,https://fbref.com/en/matches/9c0d169e/Denmark-United-States-June-19-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/19/1999,17:00,Sweden se,1,NA,cn China PR,2,NA,23298,CEFCU Stadium (Neutral Site),Virginia Tovar,,https://fbref.com/en/matches/c1720fd2/Sweden-China-PR-June-19-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/19/1999,17:30,Brazil br,7,NA,mx Mexico,1,NA,78972,Giants Stadium (Neutral Site),Nicole Petignat,,https://fbref.com/en/matches/9d86f15c/Brazil-Mexico-June-19-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/19/1999,20:00,Japan jp,1,NA,ca Canada,1,NA,23298,CEFCU Stadium (Neutral Site),Maria Siqueira,,https://fbref.com/en/matches/9d112a34/Japan-Canada-June-19-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/20/1999,16:00,Russia ru,1,NA,no Norway,2,NA,14873,Foxboro Stadium (Neutral Site),Xiudi Zuo,,https://fbref.com/en/matches/61225164/Russia-Norway-June-20-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/20/1999,16:00,Italy it,1,NA,de Germany,1,NA,17100,Rose Bowl (Neutral Site),Bola Abidoye,,https://fbref.com/en/matches/03e90c48/Italy-Germany-June-20-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/20/1999,18:30,Korea DPR kp,1,NA,ng Nigeria,2,NA,17100,Rose Bowl (Neutral Site),Katriina Elovirta,,https://fbref.com/en/matches/77c4b173/Korea-DPR-Nigeria-June-20-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/20/1999,19:30,Australia au,1,NA,gh Ghana,1,NA,14867,Foxboro Stadium (Neutral Site),Kari Seitz,,https://fbref.com/en/matches/7a5c726d/Australia-Ghana-June-20-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Wed,6/23/1999,18:00,Norway no,7,NA,ca Canada,1,NA,16448,Jack Kent Cooke Stadium (Neutral Site),Tammy Ogston,,https://fbref.com/en/matches/cffbb860/Norway-Canada-June-23-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Wed,6/23/1999,18:00,Japan jp,0,NA,ru Russia,5,NA,17668,Providence Park (Neutral Site),Sandra Hunt,,https://fbref.com/en/matches/fdbeb261/Japan-Russia-June-23-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Wed,6/23/1999,20:30,Australia au,1,NA,se Sweden,3,NA,16448,Jack Kent Cooke Stadium (Neutral Site),Fatou Gaye,,https://fbref.com/en/matches/3b05afd9/Australia-Sweden-June-23-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Wed,6/23/1999,20:30,China PR cn,7,NA,gh Ghana,0,NA,17668,Providence Park (Neutral Site),Elke Guenthner,,https://fbref.com/en/matches/cf62890e/China-PR-Ghana-June-23-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Thu,6/24/1999,17:00,Brazil br,2,NA,it Italy,0,NA,65080,Soldier Field (Neutral Site),Gitte Nielsen,,https://fbref.com/en/matches/32079161/Brazil-Italy-June-24-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Thu,6/24/1999,18:00,Korea DPR kp,3,NA,dk Denmark,1,NA,20129,Providence Park (Neutral Site),Martha Toro,,https://fbref.com/en/matches/56d13612/Korea-DPR-Denmark-June-24-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Thu,6/24/1999,19:00,USA us,7,NA,ng Nigeria,1,NA,65080,Soldier Field (Neutral Site),Nicole Petignat,,https://fbref.com/en/matches/285909f6/United-States-Nigeria-June-24-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Thu,6/24/1999,20:30,Germany de,6,NA,mx Mexico,0,NA,20129,Providence Park (Neutral Site),Im Eun-ju,,https://fbref.com/en/matches/4b4eef15/Germany-Mexico-June-24-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/26/1999,12:00,Canada ca,1,NA,ru Russia,4,NA,29401,Giants Stadium (Neutral Site),Xiudi Zuo,,https://fbref.com/en/matches/0020b073/Canada-Russia-June-26-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/26/1999,14:30,China PR cn,3,NA,au Australia,1,NA,29401,Giants Stadium (Neutral Site),Sandra Hunt,,https://fbref.com/en/matches/48763ec9/China-PR-Australia-June-26-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/26/1999,16:00,Ghana gh,0,NA,se Sweden,2,NA,34256,Soldier Field (Neutral Site),Sonia Denoncourt,,https://fbref.com/en/matches/4a3ff43c/Ghana-Sweden-June-26-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sat,6/26/1999,18:30,Norway no,4,NA,jp Japan,0,NA,34256,Soldier Field (Neutral Site),Marisela Contreras,,https://fbref.com/en/matches/f233324e/Norway-Japan-June-26-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/27/1999,13:30,Germany de,3,NA,br Brazil,3,NA,22109,Jack Kent Cooke Stadium (Neutral Site),Im Eun-ju,,https://fbref.com/en/matches/9040254e/Germany-Brazil-June-27-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/27/1999,16:00,Nigeria ng,2,NA,dk Denmark,0,NA,22109,Jack Kent Cooke Stadium (Neutral Site),Maria Siqueira,,https://fbref.com/en/matches/7537b38d/Nigeria-Denmark-June-27-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/27/1999,16:30,Mexico mx,0,NA,it Italy,2,NA,50484,Foxboro Stadium (Neutral Site),Bola Abidoye,,https://fbref.com/en/matches/10fb6a51/Mexico-Italy-June-27-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Group stage,NA,Sun,6/27/1999,19:00,USA us,3,NA,kp Korea DPR,0,NA,50484,Foxboro Stadium (Neutral Site),Katriina Elovirta,,https://fbref.com/en/matches/dd0079bd/United-States-Korea-DPR-June-27-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Quarter-finals,NA,Wed,6/30/1999,17:00,China PR cn,2,NA,ru Russia,0,NA,21411,CEFCU Stadium (Neutral Site),Nicole Petignat,,https://fbref.com/en/matches/cbe499e2/China-PR-Russia-June-30-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Quarter-finals,NA,Wed,6/30/1999,19:30,Norway no,3,NA,se Sweden,1,NA,21411,CEFCU Stadium (Neutral Site),Im Eun-ju,,https://fbref.com/en/matches/2b71be17/Norway-Sweden-June-30-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Quarter-finals,NA,Thu,7/1/1999,19:00,USA us,3,NA,de Germany,2,NA,54642,Jack Kent Cooke Stadium (Neutral Site),Martha Toro,,https://fbref.com/en/matches/4b377dc5/United-States-Germany-July-1-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Quarter-finals,NA,Thu,7/1/1999,21:30,Brazil br,4,NA,ng Nigeria,3,NA,54642,Jack Kent Cooke Stadium (Neutral Site),Virginia Tovar,Required Extra Time,https://fbref.com/en/matches/e09736e4/Brazil-Nigeria-July-1-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Semi-finals,NA,Sun,7/4/1999,13:30,USA us,2,NA,br Brazil,0,NA,73123,Stanford Stadium (Neutral Site),Katriina Elovirta,,https://fbref.com/en/matches/c175d010/United-States-Brazil-July-4-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Semi-finals,NA,Sun,7/4/1999,19:30,Norway no,0,NA,cn China PR,4,NA,28986,Foxboro Stadium (Neutral Site),Sonia Denoncourt,,https://fbref.com/en/matches/681ae6ff/Norway-China-PR-July-4-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Third-place match,NA,Sat,7/10/1999,10:15,Norway no,0,NA,br Brazil,0,NA,90185,Rose Bowl (Neutral Site),Im Eun-ju,Brazil won on penalty kicks following sudden-death extra time,https://fbref.com/en/matches/4679924a/Norway-Brazil-July-10-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,1999,Final,NA,Sat,7/10/1999,12:50,USA us,0,NA,cn China PR,0,NA,90185,Rose Bowl (Neutral Site),Nicole Petignat,USA won on penalty kicks following sudden-death extra time,https://fbref.com/en/matches/dba8c118/United-States-China-PR-July-10-1999-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sat,9/20/2003,12:00,Norway no,2,NA,fr France,0,NA,13486,Lincoln Financial Field (Neutral Site),Kari Seitz,,https://fbref.com/en/matches/84f31ae9/Norway-France-September-20-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sat,9/20/2003,14:45,Nigeria ng,0,NA,kp Korea DPR,3,NA,24347,Lincoln Financial Field (Neutral Site),Nicole Petignat,,https://fbref.com/en/matches/c6fff2dd/Nigeria-Korea-DPR-September-20-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sat,9/20/2003,17:45,Germany de,4,NA,ca Canada,1,NA,16340,MAPFRE Stadium (Neutral Site),Im Eun-ju,,https://fbref.com/en/matches/98b358ea/Germany-Canada-September-20-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sat,9/20/2003,20:30,Japan jp,6,NA,ar Argentina,0,NA,16404,MAPFRE Stadium (Neutral Site),Katriina Elovirta,,https://fbref.com/en/matches/8126ce0e/Japan-Argentina-September-20-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sun,9/21/2003,12:30,USA us,3,NA,se Sweden,1,NA,35000,Robert F. Kennedy Memorial Stadium (Neutral Site),Dongqing Zhang,,https://fbref.com/en/matches/8e6414ac/United-States-Sweden-September-21-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sun,9/21/2003,15:15,Brazil br,3,NA,kr Korea Rep,0,NA,34144,Robert F. Kennedy Memorial Stadium (Neutral Site),Tammy Ogston,,https://fbref.com/en/matches/eabd28bf/Brazil-Korea-Republic-September-21-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sun,9/21/2003,17:30,Australia au,1,NA,ru Russia,2,NA,8500,Dignity Health Sports Park (Neutral Site),Bola Abidoye,,https://fbref.com/en/matches/a8b41782/Australia-Russia-September-21-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Sun,9/21/2003,20:15,China PR cn,1,NA,gh Ghana,0,NA,10027,Dignity Health Sports Park (Neutral Site),Sonia Denoncourt,,https://fbref.com/en/matches/fb6df180/China-PR-Ghana-September-21-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Wed,9/24/2003,17:00,Norway no,1,NA,br Brazil,4,NA,15490,Robert F. Kennedy Memorial Stadium (Neutral Site),Xonam Agboyi,,https://fbref.com/en/matches/3e5f7080/Norway-Brazil-September-24-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Wed,9/24/2003,17:45,Germany de,3,NA,jp Japan,0,NA,15490,MAPFRE Stadium (Neutral Site),Sueli Tortura,,https://fbref.com/en/matches/f45634e0/Germany-Japan-September-24-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Wed,9/24/2003,19:45,France fr,1,NA,kr Korea Rep,0,NA,16316,Robert F. Kennedy Memorial Stadium (Neutral Site),Dongqing Zhang,,https://fbref.com/en/matches/7a440ac8/France-Korea-Republic-September-24-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Wed,9/24/2003,20:30,Canada ca,3,NA,ar Argentina,0,NA,15529,MAPFRE Stadium (Neutral Site),Nicole Petignat,,https://fbref.com/en/matches/9d45b225/Canada-Argentina-September-24-2003-Womens-World-Cup
FIFA Women's World Cup,F,NA,2003,Group stage,NA,Thu,9/25/2003,16:15,Ghana gh,0,NA,ru Russia,3,NA,13929,Dignity Health Sports Park (Neutral Site),Kari Seitz,,https://fbref.com/en/matches/3a2c4892/Ghana-Russia-September-25-2003-Womens-World-Cup
